text,x1,y1,size,px,textName,imgNo,textAlign,textBaseline
日常工作,340,75,0,45,Arial,1,center,middle
玉兔们的工作：日常捣药。,207,169,0,24,方正兰亭黑_GBK Regular,1,center,middle
日常做月饼,165,87,0,24,方正兰亭黑_GBK Regular,2,center,middle
年复一年，一成不变。,539,420,5,24,方正兰亭黑_GBK Regular,2,center,middle
然而每年玉兔们都有最期待的事情，那就是——,62,70,9,24,方正兰亭黑_GBK Regular,3,left,top
过年捣年糕！,369,420,0,32,方正兰亭黑_GBK Regular,3,left,top
新年筹备工作，远离了洗脑的中药和月饼，,74,48,10,24,方正兰亭黑_GBK Regular,4,left,top
憋了一年的玉兔们就开始这样玩了起来。,393,396,9,24,方正兰亭黑_GBK Regular,4,left,top
日常伙食,249,31,0,45,方正兰亭黑_GBK Regular,5,left,top
月饼火锅,68,150,0,32,方正兰亭黑_GBK Regular,5,left,top
月饼刺身,67,59,0,32,方正兰亭黑_GBK Regular,6,left,top
红酒焗月饼,67,65,0,32,方正兰亭黑_GBK Regular,7,left,top
新年菜谱：年糕,73,64,0,32,方正兰亭黑_GBK Regular,8,left,top
